"przedział","lewy_kr","prawy_kr","liczebność"
1,5.895,7.265,5
2,7.265,8.635,8
3,8.635,10.005,15
4,10.005,11.375,16
5,11.375,12.745,11
6,12.745,14.115,3
7,14.115,15.485,1
8,15.485,16.855,1
