"przedział","lewy_kr","prawy_kr","liczebność"
1,3.195,4.435,11
2,4.435,5.675,9
3,5.675,6.915,20
4,6.915,8.155,23
5,8.155,9.395,23
6,9.395,10.635,22
7,10.635,11.875,17
8,11.875,13.115,6
9,13.115,14.355,2
10,14.355,15.595,1
11,15.595,16.835,1
